question,answer
修了証書の和暦を西暦に変更できますか？,申し訳ありませんが、修了証書の日付は和暦での表記となっており、変更はできません。和暦を使用する団体が多いため、この仕様となっています。
講師の都合で講義の日程や順序を変更する方法を教えてください。,開催前であれば、研修編集ページから日程や順序を変更できます。ただし、すでに受講履歴があるレッスンは編集できません。
研修受講者を誤って「承認」してしまいました。取り消しはできますか？,承認の取り消しはできませんが、キャンセル後に再度申し込みを行い、非承認とすることが可能です。
支払いカードが2枚立つことがありますが、どういう場合に発生しますか？,支払額を入力せずに「未払い」ステータスで保存し、その後「支払済」ステータスに変更すると、差額未払い分の支払いカードが生成されます。請求額に等しい支払額を入力することで、新たな支払いカードは生成されません。
研修が管理画面では公開されているのに、本会HP画面では検索にヒットしないことがあります。原因は何でしょうか？,対象利用者グループが保健師・助産師・看護師に限られており、それ以外の利用者には「非表示」の設定になっているためです。対象外利用者グループへの対応を「申込不可」に切り替えると、検索ではヒットしますが、対象外の方は申し込めない状態にすることができます。
受講料の一部を振り込んだ後、残りの金額を支払う方法を教えてください。,管理者画面から不足金分の支払カートにアクセスし、支払額と支払日を入力して「支払済」に設定してください。銀行振込の場合、同一口座に不足金額を振り込むことで自動連携されます。一部を銀行振込、残りをコンビニ払いにすることはできません。
研修会キャンセル後の受講ステータスとテキストのダウンロード権限はどうなりますか？,キャンセル後も「受講予定」ステータスは残りますが、研修テキストや受講画面へのアクセスはできなくなります。レッスンカスタム情報の「テキスト」にアップロードした資料は、キャンセルステータスを持たない受講者がダウンロード可能です。
Microsoft Teamsを利用して研修会のライブ配信は可能ですか？,はい、Microsoft Teamsを利用して研修会のライブ配信は可能です。視聴用のURLを動画URL欄に入力することで、受講生がmanaableから視聴URLにアクセスできます。ただし、視聴履歴の自動取得は対応していないため、出席確認は管理者が手動で行う必要があります。
メールアドレスの最初の文字が大文字/小文字で異なるアカウントが作成されるのは仕様ですか？,はい、同じメールアドレスでも最初の文字が大文字と小文字で異なる場合、別のメールアドレスとして認識され、別のアカウントが作成されます。これは仕様です。
非会員の登録時に複数の所属施設を選択できるのは仕様ですか？,はい、非会員は複数の所属施設を選択することができます。これは仕様であり、複数の施設を兼任している場合などに対応するためです。
ポップアップが表示されなくなったのですが、どうすれば再表示できますか？,ポップアップが表示されない場合、以下の手順をお試しください。
ポップアップが表示されないデバイスがあります。どうしてですか？,ポップアップが表示されない場合、過去に「上記の内容を確認したため、今後は表示しない」をチェックして閉じた可能性があります。この設定はデバイスごとに保存されるため、他のデバイスでも同様の操作が行われた可能性があります。
ポップアップが何度も表示されることがありましたが、これはバグですか？,過去の修正履歴を確認したところ、ポップアップが何度も表示されるバグの報告はありませんでした。ブラウザのCookie設定や閲覧履歴の消去が原因で、ポップアップが再表示されることがあります。
クッキーを有効にしていない場合、ポップアップはどうなりますか？,クッキーを有効にしていない場合、「ポップアップの表示を今後消す」という記録が保存されないため、ポップアップが一度しか表示されないことがあります。また、クッキーの保存期間が短い場合、再度ポップアップが表示されることがあります。
振込コードを入力せずに銀行振込を行った場合、どうすればよいですか？,振込コードを入力せずに銀行振込を行った場合でも、入金は可能です。ただし、振込コードがないと特定に時間がかかることがあります。以下の手順で対応してください。
振込コードを入力しなかった場合、支払い情報は自動で反映されますか？,振込コードを入力しなかった場合、支払い情報は自動で反映されないことがあります。その場合、手動で支払い情報を更新する必要があります。詳細は上記の手順を参照してください。
振込コードを入力しなかった場合、どのように特定されますか？,振込コードを入力しなかった場合でも、GMO側で特定に時間を要することがあります。特定が完了すると、支払い情報が反映されます。特定に時間がかかる場合は、GMOに問い合わせることをお勧めします。
振込コードを入力しなかった場合のリスクは何ですか？,振込コードを入力しなかった場合、誤入金が発生するリスクがあります。振込コードは、該当の加盟店への入金を正確に処理するために重要です。毎回振込コードを入力するようにご案内ください。 FAQ
修了証書の和暦表示を西暦に変更することはできますか？,申し訳ありませんが、修了証書をはじめとする発行書面の日付は和暦での表記となっております。これは多くの団体様が和暦を使用されているためです。現在のところ、西暦表示への変更オプションはございません。
1つの研修に複数の講義がある場合、講義の順序を変更することはできますか？,研修が開催前であれば、研修編集ページより講義の順序を変更することができます。ただし、以下の点にご注意ください：
誤って研修受講者を「承認」としてしまった場合、「非承認」に戻すことはできますか？,申し訳ありませんが、一度行った承認の取り消しはできません。ただし、以下の手順で対処することが可能です：
オーダーIDのない支払いカードが生成されることがありますが、どういう場合に起こりますか？,「支払済」ステータスになった時点で、請求額に対し支払額に差分があると、差分額分のオーダーIDのない支払カードが新たに生成されます。これを避けるには：
