question,answer
管理者側から受講者を申し込んだ場合、受講者には申込み完了のメールが送信されますか？,管理者側からの申込みでも、申込フォームの「メール設定」タブで送信設定をしている場合は、受講者側・管理者側のどちらが申し込んでもメールが送信されます。
レッスンに紐づく課題の回答ボタンが表示されません。どの受講状況で回答可能になりますか？,基本的に「受講予定」になると課題に回答できるようになります。ただし、特定の研修では、レッスンが「受講完了」になってから課題に回答できる設定がされている場合があります。
課題をダウンロードすると、受講者が作成したファイル名ではなく、別の名前でダウンロードされます。どこで設定を変更すれば、アップロードされたファイル名でダウンロードできますか？,現在の仕様では、ダウンロード時にランダムなファイル名が割り当てられます。仕様改善が進められていますので、改善までお待ちいただければと思います。
マナブルの利用登録で、「メールアドレスが無効な形式です」と表示されます。メールアドレスに「.（ドット）」が含まれる場合、どうすればいいですか？,「@」の前に「.（ドット）」を含むメールアドレスはマナブルで利用できません。別のメールアドレスをご用意いただく必要があります。
施設側から除名すると、マナブル管理上ではどうなりますか？,施設から除名されると、アカウントはマナブル上に残りますが、施設からは外れます。
マナブルの公式アイコンキャラクターであるブルドッグ犬の正式名称は何ですか？,ブルドッグのキャラクターの名前は「ブル先生」で、女性のキャラクターは「マナちゃん」といいます。詳細はこちらの動画をご覧ください。 FAQ
申込みをした研修を一度キャンセルすると、再度同じ研修の申込はできないのでしょうか？,研修を一度キャンセルしても、再度同じ研修の申込は可能です。利用者画面から「研修を探す」で該当研修を検索し、再申込できます。
ライブ配信の参加ボタンは、ライブ配信開始の何分前からクリックできるようになりますか？,ライブ配信の場合、参加ボタンは配信開始の1時間前からクリックできるようになります。それまでは、参加ボタンが表示されません。
研修申込期間中に「ランチョンセミナーを希望するか」の項目が先着150名に達したら、この項目を隠すことはできますか？,申込フォームの途中で特定の項目を非表示にすることはできません。ただし、フォーム内に締め切りの旨を記載することで対応可能です。例えば、フォームのラベルやヘッダーに注意書きを追加する方法があります。
Vimeoにアップロードした動画を、申込者のみ視聴できるようにするための設定方法を教えてください。,Vimeoの設定で「限定公開」から「Vimeoで非表示」に変更してください。これにより、動画はmanaableにログインした受講者のみに視聴可能となり、URLの拡散も防げます。
研修会が中止になった場合、中止前に支払いがあった受講者の領収書は発行できますか？また、中止後の返金操作は利用者画面に反映されますか？,研修会が中止になった場合でも、中止前に支払いがあった受講者の領収書は発行可能です。また、中止後に管理画面で行った返金操作は利用者画面にも反映されます。 FAQ
申込担当者の変更は管理者画面以外で可能ですか？,現在のところ、manaableでは「申込担当者」の変更を利用者画面から行うことはできません。変更は管理者画面の「登録者管理」－「登録者一覧」から行う必要があります。個人情報保護のため、チームリーダー設定は管理者のみが行える仕様となっています。機能に関する要望がある場合は、こちらのリンクからお寄せください。
課題はどのタイミングで利用者の提出物に表示されますか？,課題は、受講者のステータスが「受講予定」に変更された時点で表示されます。支払いが完了していない場合、受講者のステータスが「受講予定」にならないため、課題は表示されません。
ラジオボタンの選択肢のチェックを外すことはできますか？,ラジオボタンのチェックを外すことは難しいですが、代わりに別の選択肢を追加する方法があります。例えば、看護師として就職した場合には別の選択肢を追加し、その選択肢に移し替えることができます。もし既存の項目をチェックボックスに変更することをご希望の場合は、CSVを使用してデータを移し替える方法もあります。詳細はサポートにご相談ください。 FAQ
手動通知送信で特定の受講者に通知を送信することは可能ですか？,現在の機能では、手動通知メールを特定の受講者に送信することはできません。もしこの機能の追加をご希望の場合は、こちらのリンクから新規要望としてお寄せください。
クレジットカード払いでキャンセルした場合、返金はいつ頃になりますか？,クレジットカード払いの返金タイミングは、元々のお取引の状態や売上伝送のスケジュールによって異なります。クレジットカードの締め日により、引き落としが行われた場合、翌月の請求で相殺される可能性があります。詳しくはこちらの記事をご覧ください。
銀行振込やコンビニ決済でキャンセルした場合、返金の計算方法はどうなりますか？,銀行振込やコンビニ決済でキャンセルした場合、受講者が振込んだ受講料合計から、キャンセルした方の受講料（クレジットカード払いの方のみ）を引いた額が、後日弊社に振込んでいただく研修会受講料合計となります。
コンビニ決済で印刷されたバーコードがうまく印字されなかった場合、再度印刷することは可能ですか？,コンビニ決済のバーコードが再発行されることはありません。印字がうまくいかなかった場合は、管理画面から支払番号を調べて利用者に通知する必要があります。詳細な操作方法については、こちらをご参照ください。
研修の添付資料は一つしか添付できないのでしょうか？複数添付する方法を教えてください。,一つのカスタム項目には一ファイルしかアップロードできません。複数のファイルを添付するには、追加のカスタム項目を作成し、それぞれのファイルを別々にアップロードしてください。また、「ユーザー画面に表示する」をONにすることで、利用者に表示されるように設定できます。
メンバー研修の「すべて」の一覧は何順で表示されますか？申込日順にソートすることは可能ですか？,メンバー研修の「すべて」は研修ID順に並んでいます。申込日順にソートする機能は現在提供されていませんが、ソート機能の改善については新規要望フォームからご提案いただければ、検討させていただきます。 FAQ
代表者アカウントのメンバー画面で「メンバー情報変更」と「アカウントの削除」を制限するにはどうすれば良いですか？,代表者アカウントのメンバー一覧から「メンバー情報変更」と「アカウントの削除」を制限するには、管理者画面で次の手順を実行します：
受講者からの問合せ画面で直接回答することはできますか？また、「詳細」ボタンが反応しないのはどうしてですか？,現在のところ、受講者からの問合せに対して直接回答する機能はありません。問合せにはメールでの対応が必要です。また、「詳細」ボタンが反応しないのは、ポップアップ表示の不具合が原因です。ポップアップに表示される情報は、問合せフォームの回答一覧に表示される内容と同じですので、回答一覧を参照してください。
誤って「提出済み」となったレポートを「提出未」に戻すことはできますか？,現状、manaableの機能では「提出済み」のステータスを「未提出」に戻すことはできません。利用者に再度正しいレポートを提出するよう案内してください。提出が完了するまで、申込者一覧の「管理者メモ」に情報を記載して管理上の混乱を防ぐ方法があります。詳しくは、申込者一覧 > 申込情報変更 > 管理者メモをご覧ください。
申込フォームに追加項目を後から追加すると不具合が発生する可能性はありますか？,申込フォームに後から項目を追加することには問題ありません。選択肢の追加は他の機能に影響を与えませんが、既に回答済みの内容が変更される可能性があるため、追加することをお勧めします。
申込終了日を延長することは可能ですか？,申込終了日を延長することは可能です。延長後は、manaableにアクセスする利用者には最新の申込終了日が適用されます。引き続き、申込期限の延長が必要な場合はご連絡ください。
パスワードを忘れた場合、どうすればリセットできますか？,ログイン画面の「パスワードをお忘れの方」リンクから登録済みのメールアドレスを入力すると、リセット用URLが送信されます。URL有効期限は24時間です。
コースの有効期限はどこで確認できますか？,各コースの詳細ページ内、「コース情報」タブに有効開始日と終了日が表示されます。終了日を過ぎると受講できなくなるためご注意ください。
修了証はどのようにダウンロードできますか？,全モジュールを「受講完了」状態にすると、マイページの「修了証ダウンロード」ボタンが有効化されます。PDF形式で取得可能です。
グループ管理機能の使い方を教えてください。,管理画面の「グループ管理」からグループを作成し、受講者をドラッグ＆ドロップで割り当てます。割り当て後はグループ単位でレポートを出力できます。
通知メールが届きません。対処方法は？,迷惑メールフォルダをご確認ください。ドメイン「@manable.jp」を受信許可リストに追加し、マイページの「メール設定」から通知対象をONにしてください。
受講履歴をCSVでエクスポートできますか？,はい。管理画面の「レポート」→「受講履歴」から、期間を指定してCSV出力ボタンをクリックするとダウンロードできます。
コースの言語設定を変更できますか？,現在は日本語と英語のみ対応しています。コース作成時に「言語」項目で選択可能です。後からの変更はできませんのでご注意ください。
外部ID連携（OAuth）は対応していますか？,Google OAuth2.0およびMicrosoft Azure ADとの連携をサポートしています。管理画面の「システム設定」→「認証連携」から設定してください。
動画教材が再生できません。ブラウザ要件は？,最新のChrome、Firefox、Edgeのいずれかを推奨します。Safariでは再生できない場合があります。ブラウザのキャッシュをクリア後に再試行してください。
スマホアプリはありますか？,現在はWebブラウザ版のみの提供です。今後、iOS/Androidアプリをリリース予定です。リリース時にはお知らせメールにてご案内します。
受講者の進捗状況を一括で更新できますか？,管理画面の「進捗管理」→「一括更新」からCSVをアップロードすると、ステータスをまとめて変更できます。テンプレートは同画面からダウンロード可能です。
管理者権限を別のユーザーに付与するには？,「ユーザー管理」で該当ユーザーの「役割」を「管理者」に変更してください。変更後、即時に管理画面へのアクセス権限が付与されます。
研修素材をアップロードできるファイル形式は？,PDF、PowerPoint（pptx）、動画（mp4）、画像（jpg/png）のアップロードに対応しています。それ以外の形式は事前に変換してください。
ログイン通知機能はありますか？,管理者向けに「ログインアラート」を設定可能です。管理画面の「セキュリティ設定」→「ログイン通知」から、特定IPや全ユーザーのログイン時にメール通知を受け取れます。
申込者の人数制限を設定できますか？,コース作成時の「定員」項目で上限数を指定できます。定員に達すると申込みフォームから自動的に受付終了となります。
テストの再受験は可能ですか？,再受験可能回数はコースごとに設定できます。設定が「無制限」の場合、何度でも受験できます。回数制限がある場合は、カウントがリセットされませんのでご注意ください。
API連携は可能ですか？,RESTful APIを提供しており、ユーザー情報や受講状況、レポートの取得・更新が可能です。APIキーは「システム設定」→「API管理」から発行してください。
研修を中断した場合、どこから再開されますか？,最後に完了したレッスンの次の章から再開されます。中断した位置は自動的に保存され、マイページの「続きから再開」ボタンで移動できます。
システムメンテナンス情報はどこで確認できますか？,公式サイトの「お知らせ」ページおよび管理画面のヘッダーに表示されるバナーから最新情報をご確認いただけます。
障害発生時の問い合わせ先は？,緊急時は専用のサポートダッシュボードからチケットを発行してください。平日9〜18時はチャットサポートもご利用いただけます。
コースコンテンツの承認ワークフロー機能はありますか？,はい。コンテンツ作成時に「承認フロー」を設定すると、作成者→レビュアー→公開のステップを経て公開されます。承認状況は「コンテンツ管理」で確認できます。
オンライン試験のプロクタリング機能は提供していますか？,外部プロクタリングサービスとの連携オプションがあります。管理画面の「試験設定」→「プロクタリング連携」でAPIキーを登録すると利用可能です。
成績のグレードブックをCSVでエクスポートできますか？,管理画面の「成績管理」→「グレードブック」タブから、クラス／コースごとにCSVダウンロードボタンで成績表を取得できます。
受講データの分析ダッシュボードは使えますか？,管理画面の「ダッシュボード」から、受講率、合格率、アクティブユーザー数などのグラフをリアルタイム表示できます。期間フィルターや講師別フィルターも利用可能です。
ユーザーを一括インポートする方法は？,管理画面の「ユーザー管理」→「一括インポート」からCSVテンプレートをダウンロードし、必要情報を入力してアップロードすると、複数ユーザーを同時に登録できます。
住宅ローンの仮審査を申し込む方法は？,オンライン申込フォームに貸付金額、返済期間、借入予定物件の情報、本人の年収・職業情報を入力し、審査申込を行います。申込後、1週間程度で仮審査結果が通知されます。
法人クレジットカードを取得するための手続きは？,カード会社のWebサイトで「法人カード申込」フォームに法人名、代表者氏名、事業内容、年商を入力し、必要書類（登記簿謄本、決算書など）をアップロードすると審査が開始されます。
ロボアドバイザーで運用を開始するには最低投資額はいくらですか？,プラットフォームによって異なりますが、一般的に最低10万円から運用可能です。口座開設後、入金してポートフォリオを設定すると自動的に投資が開始されます。
資産運用レポートをWebで閲覧する方法は？,運用会社のマイページにログイン後、［レポート］タブから対象期間を選択すると、PDF形式の運用実績報告書をダウンロードできます。メールでの定期配信設定も可能です。
商標出願のオンライン申請方法を教えてください。,特許庁の「電子出願ソフト」をインストールし、商標出願書と指定商品・役務を入力して電子署名後、申請を行います。出願料はクレジットカードか電子納付で支払います。
イベントチケットを電子発券する方法は？,チケット販売サイトのマイページにログインし、購入履歴から「電子チケットを表示」をクリックするとスマートフォンアプリで二次元バーコードが表示されます。当日会場でQRをスキャンして入場します。
eスポーツ大会への参加申請はどのように行いますか？,大会主催者のWebサイトにアクセスし、大会概要ページの「参加申込フォーム」にチーム名、メンバー情報、参加料支払方法を入力・送信してください。申込完了後に参加IDが発行されます。
アパレルOEMブランドで在庫管理システムを導入するには？,SaaS型在庫管理ベンダーの体験版を申し込み、製品SKUと在庫初期数をCSVでアップロードします。システムと倉庫管理（WMS）をAPI連携して出荷実績を自動同期することで、リアルタイム在庫が反映されます。
繊維検査ラボで試験依頼をする手順は何ですか？,ラボのWebサイトにある「試験依頼書」をダウンロードし、試験項目、サンプル数量、納期希望を記入してメールまたは郵送で提出してください。サンプル発送後、約2週間で試験報告書が届きます。
LNG供給契約を締結する際の基本フローを教えてください。,①需要予測と契約条件協議②価格算定方式と契約期間の合意③SPA（販売購入契約）締結④LNG船手配とターミナルとの入出荷スケジュール調整⑤最終オペレーションとなります。契約締結には弁護士やコンサルタントの関与が必要です。
自治体の下水道使用開始手続きをするにはどうすればよいですか？,市町村の水道局または下水道課へ「下水道使用承認申請書」を提出し、設置されている排水設備の仕様書を添付します。審査後、使用承認証が発行されます。審査には2週間程度かかる場合があります。
産業廃棄物処理契約を更新するための流れは？,契約更新月の2カ月前までに現行契約書の満了日を確認し、廃棄物処理業者へ更新意思を連絡します。新契約書に必要事項を記入・押印し、自治体への届出を行ってください。更新には廃棄物種類の変更がない限り簡易手続きとなります。
英検受験申し込みはどこで行えばよいですか？,公益財団法人日本英語検定協会のWebサイトにアクセスし、「英検申し込み」ページで希望級、受験会場、個人情報を入力して申し込みます。登録後に支払方法を選択し、申込完了メールを受け取ります。
託児所を利用する際の登録手続きは何が必要ですか？,保護者の本人確認書類、お子様の健康保険証コピー、緊急連絡先、予防接種証明書を持参し、所定の利用申込書に記入してください。面談後に利用契約書を締結し、利用開始となります。
英会話教室の体験レッスンを予約する方法は？,スクールのWebサイトにある「体験レッスン予約」フォームに名前、連絡先、希望日時、レベルを入力して送信してください。担当者から確認の電話またはメールが届きます。
技術文書の専門翻訳を依頼する際の手順は？,翻訳会社のWebサイトから「見積もり依頼」フォームに原文ファイル、分量、専門分野、納期希望を添付して送信してください。数日以内に翻訳料と納期を提示されます。
同時通訳サービスの見積もりを依頼する方法は？,通訳会社の「通訳見積もり依頼」ページで、会議日時、参加人数、専門領域、会場情報を入力し、送信してください。通訳者の手配可否と費用が数日内に提示されます。
路線バスの定期券を購入する方法は？,主要バス会社の駅や営業所の窓口で申込書を記入し、運転免許証などの本人確認書類を提示して購入します。インターネット販売を行っている会社もあり、Webサイトで申し込むことも可能です。
宅配便の着払い伝票をオンラインで発行する方法は？,配送会社のWebサイトにログインし、「オンライン伝票発行」機能で送付先住所や荷物情報を入力すると、着払い伝票がPDFで生成されます。プリンタで印刷して荷物に貼付してください。
輸入貨物の通関書類を準備する際に必要なものは何ですか？,インボイス（商業送り状）、パッキングリスト、輸入許可証、原産地証明書、船荷証券（B/L）、保険証券、輸入申告書が必要です。物品によっては追加で検疫証明が求められる場合があります。
輸出入許可申請をオンラインで行う方法を教えてください。,税関の「NACCS（ナックス）」システムに利用者登録後、電子申告用ソフトにて輸出入許可申請書を作成し、電子署名を付与して送信します。許可後は電子許可書が発行されます。
食品衛生第三者認証を申請する流れは？,認証機関のWebサイトで申請書をダウンロードし、施設の衛生管理計画書、従業員の衛生教育記録を添付して提出します。現地審査を受け、是正がなければ認証書が交付されます。
個人情報保護方針を策定するためのガイドラインはどこで入手できますか？,総務省のWebサイトにて「個人情報保護ガイドライン」が公開されており、ダウンロードして企業の方針策定に役立てることができます。地方公共団体向けや医療分野向けの個別ガイドラインも参照可能です。
環境影響評価を申請する手続きはどのように行いますか？,開発事業予定地の管轄行政庁に「環境影響評価書（概要書）」を提出し、パブリックコメント手続きを経て、最終的に「環境影響評価調査計画書」を提出します。審査後、事業許可が下ります。
リフォーム現場で廃材処理を依頼するにはどうすればよいですか？,廃材処理業者のWebサイトで「廃材回収依頼」フォームに廃材種類（木材・コンクリート等）、数量、現場住所を入力して送信し、回収日を調整します。見積もりは回収前に提示されます。
住み替え時に古い家具を廃棄する方法は？,市区町村の粗大ごみ収集に申し込み、収集日当日に指定場所に出してください。有料のところが多いため、自治体のWebサイトで手数料や申し込み方法を確認しましょう。リサイクルショップに買取を依頼することも可能です。
飲食店の定期衛生点検を受けるにはどうすればよいですか？,保健所に「食品衛生管理計画書」を提出し、指定された検査機関で厨房内の衛生検査を受けてください。検査結果は保健所へ報告し、指摘事項があれば改善提案を反映します。
保険代理店で火災保険の補償範囲を変更するには？,保険証券を準備し、代理店窓口または担当者へ連絡し、「補償範囲変更申込書」に必要事項を記入して提出してください。変更後の保険料は次回更新時に適用されます。
銀行で外貨定期預金を満期前に解約する場合のペナルティは？,解約時点での基準金利が適用されるため、通常の定期金利よりも低い利率での計算となります。ペナルティ金は発生しませんが、預入条件により最低金額以上の解約手数料がかかる場合があります。
住宅設備メーカーでエアコンの施工業者を手配するには？,メーカーのWebサイトで「施工サービス」ページから住所と設置機種を入力すると、最寄りの認定施工業者を自動で割り当てて連絡先が表示されます。電話で工事日程を調整してください。
結婚式の招待状印刷を依頼する際のデータ入稿方法は？,印刷会社のWebサイトでテンプレートをダウンロードし、WordやIllustratorで招待状デザインを作成してPDF化してください。その後「データ入稿フォーム」からファイルをアップロードします。
スポーツイベントでスポンサー契約を結ぶ手順はどのようですか？,主催者の「スポンサーシップ案内」に記載されたプラン内容を確認し、申込フォームに企業情報、希望プランを入力して送信します。主催者側が条件を確認後、契約書を取り交わしてスポンサー著作物が提供されます。
貸し会議室でプロジェクターを追加レンタルする方法は？,予約時に「備品オプション」選択画面でプロジェクターにチェックを入れ、台数とレンタル期間を指定してください。予約後、確認メールにレンタル価格が記載されます。
葬儀社で直葬プランを申し込むにはどうすればよいですか？,電話またはWebサイトの「直葬プラン申し込みフォーム」に故人の情報、希望式場、搬送先を入力し、担当者と葬儀内容について打ち合わせを行います。必要に応じて見積書が発行されます。
フィットネスジムでプライベートロッカーを契約する手続きは？,ジムの受付で「ロッカー利用希望」を伝え、利用契約書に記入して月額料金を支払ってください。鍵の貸出を受けると利用開始となります。
ペット保険を加入する際に必要な情報は何ですか？,ペットの年齢、種類、体重、既往歴を入力し、飼い主の氏名と住所、連絡先を保険会社のWebサイトで登録してください。審査後、契約証がメールで送付されます。
リサイクルショップでブランド時計を査定してもらう方法は？,店舗に対象時計を持参し、モデル番号、付属品の有無をスタッフに伝えると、査定を行って金額を提示します。出張査定サービスを利用する場合はWebから申込可能です。
オンラインヨガクラスを受講するための環境要件は？,安定したインターネット回線（下り速度5Mbps以上）、Webカメラ付きPCまたはタブレット、マットと十分なスペースが必要です。Zoomなど指定プラットフォームのアプリを事前にインストールしてください。
製造業で部品表（BOM）を管理するツールの選び方は？,製品の複雑さや使用頻度を考慮し、バージョン管理機能、データ連携（CAD連携）、権限設定が充実したPLM/PDMシステムを選択しましょう。クラウド型かオンプレミスかも検討ポイントです。
研修会社に新入社員研修を依頼する際の申し込み手順は？,研修プログラムの詳細を確認し、Webサイトの「研修申し込み」フォームで会社名、受講人数、希望日程を入力して送信してください。ヒアリング後に最終的なカスタマイズと見積もりが提示されます。
水道メーターの検針票を紛失した場合、再発行するにはどうすればよいです？,市町村の上下水道課に電話連絡し、口座番号または契約番号を伝えると、検針票を郵送またはWebサイトからPDFダウンロードできるよう案内されます。
キャリアコンサルタントに転職相談を申し込む方法は？,転職エージェントのWebサイトで「キャリア相談予約」フォームに現在の職種、希望業界、連絡先、履歴書を添付して申し込むと、担当コンサルタントから面談日時の案内があります。
オンラインストアで会員限定セールに参加するにはどうすればよいですか？,マイページにログインし、会員ランクが対象ランク以上であればセールページが表示されます。クーポンコードを入力すると割引が適用されます。未登録の場合は新規会員登録が必要です。
建設機械のオペレーター資格講習を受けるには？,協会指定の講習会サイトからスケジュールを確認し、受講申込フォームに名前、住所、希望講習日を入力して申し込んでください。受講後に修了証が発行されます。
音楽スタジオで機材レンタルを追加する方法は？,スタジオ予約フォームで「オプション機材レンタル」の項目を選択し、機材名と数量を入力して確定してください。追加料金は後日請求書に反映されます。
介護施設でショートステイを利用する際の申し込み手順は？,ケアマネジャーを通じて「短期入所生活介護サービス計画書」を作成後、施設の空き状況を確認し、利用申込書に必要事項を記入して提出してください。担当者から利用日程が調整されます。
バーチャルリアリティ（VR）研修を導入する際の機材要件は？,PC用VRの場合、GPUはNVIDIA GeForce GTX 1060以上、RAMは8GB以上、USB3.0ポート2つ以上が必要です。スタンドアロン型の場合はVRゴーグル本体のみで動作します。
法人登記簿謄本をオンラインで請求する方法は？,法務局の「登記・供託オンライン申請システム」にアクセスし、利用者登録後、会社名または法人番号を入力して請求手続きを行います。手数料はクレジットカードまたは電子納付で支払います。
ホテルで外国語対応スタッフをリクエストするには？,予約時に備考欄に「英語対応スタッフ希望」などと記載してください。当日フロントにて対応可能スタッフが配置されるよう手配します。事前連絡がない場合は必ずしも対応できないことがあります。
学会発表参加のための予稿集申込み方法を教えてください。,学会Webサイトの「参加登録」ページにアクセスし、個人情報と発表番号を入力して登録し、参加費をクレジットカードで支払うと、予稿集が電子版でダウンロード可能になります。印刷版が必要な場合は別途注文してください。
